,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres_x,primaryName,film_2,film_3,film_4,averageRating,original_language,overview,popularity,release_date,runtime,spoken_languages,production_companies_name,region,poster_ok,clean_overview
0,tt0030998,movie,You're Only Young Twice,You're Only Young Twice,1952,81,Comedy,Wendy Noel,tt0044443,tt1628302,Pas de film,5.0,en,"Seeking her long lost uncle, Ada Shore arrives at Skerryvore University to find him working under another name as the Gate Keeper. Ada is mistaken by the Principal as his new secretary so she jumps headlong into the role",0.947,1951-07-01,81.0,['en'],['Group 3'],GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,seeking her long lost uncle ada shore arrives at skerryvore university to find him working under another name as the gate keeper ada is mistaken by the principal as his new secretary so she jumps headlong into the role
1,tt0035423,movie,Kate & Leopold,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",Ray Seiden,tt0138704,tt0138946,tt0098502,6.4,en,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",15.77,2001-12-25,118.0,"['en', 'fr', 'it']","['Konrad Pictures', 'Miramax']",GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,when her scientist exboyfriend discovers a portal to travel through time  and brings back a thcentury nobleman named leopold to prove it  a skeptical kate reluctantly takes responsibility for showing leopold the st century the more time kate spends with leopold the harder she falls for him but if he doesnt return to his own time his absence will forever alter history
15,tt0036606,movie,"Another Time, Another Place","Another Time, Another Place",1983,118,"Drama,War",Corrado Sfogli,Pas de film,Pas de film,Pas de film,6.4,it,"Set in 1943 in Scotland during World War II. Janie is a young housewife married to a man named Dougal, 15 years her senior. As part of a war rehabilitation program, Janie and Dougal welcome three Italian POWs to work on their farm. Soon, Janie falls in love with one of them...",1.4,1983-05-13,118.0,"['en', 'it']","['Umbrella', 'Associated-Rediffusion Television', 'Channel Four Films', 'The Scottish Arts Council']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,set in  in scotland during world war ii janie is a young housewife married to a man named dougal  years her senior as part of a war rehabilitation program janie and dougal welcome three italian pows to work on their farm soon janie falls in love with one of them
19,tt0042192,movie,All About Eve,All About Eve,1950,138,Drama,Celeste Holm,tt0039416,tt0049314,tt0041257,8.2,en,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",18.707,1950-10-06,139.0,"['en', 'fr']",['20th Century Fox'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,from the moment she glimpses her idol at the stage door eve harrington is determined to take the reins of power away from the great actress margo channing eve maneuvers her way into margos broadway role becomes a sensation and even causes turmoil in the lives of margos director boyfriend her playwright and his wife only the cynical drama critic sees through eve admiring her audacity and perfect pattern of deceit
26,tt0042194,movie,The Glass Castle,Le château de verre,1950,99,"Drama,Romance",Roger Dalphin,tt0160727,tt0126308,tt0149631,6.1,fr,"Evelyne, a judge's young wife, falls in love with Rémy while vacationing in Italy. Upon returning home, she must decide between telling her husband and continuing to see Rémy.",1.104,1950-12-16,99.0,"['fr', 'it']","['Universalia Film', 'Franco London Films', 'Fortezza Film']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,evelyne a judges young wife falls in love with rmy while vacationing in italy upon returning home she must decide between telling her husband and continuing to see rmy
28,tt0042219,movie,Backfire,Backfire,1950,91,"Crime,Drama,Film-Noir",Sheila MacRae,tt0042296,tt0057887,tt0059287,6.5,en,"When he's discharged from a military hospital, ex-GI Bob Corey goes on a search for his army buddy Steve Connolly. A reformed crook, Connolly is on the lam from a trumped-up murder rap, and Corey hopes to clear his pal. Tagging along is Army nurse Julie Benson, who has fallen for Corey.",2.901,1950-01-26,91.0,['en'],['Warner Bros. Pictures'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,when hes discharged from a military hospital exgi bob corey goes on a search for his army buddy steve connolly a reformed crook connolly is on the lam from a trumpedup murder rap and corey hopes to clear his pal tagging along is army nurse julie benson who has fallen for corey
35,tt0042234,movie,Beauty on Parade,Beauty on Parade,1950,66,"Adventure,Drama,Romance",Josette Deegan,tt7578900,Pas de film,Pas de film,4.7,en,"Marian Medford Woodstock gave up a chance twenty years ago to compete for the Miss USA beauty title in order to marry Jeffrey Woodstock. She hopes to realize her past ambitions for fame and fortune through her daughter Kay, whom she persuades to enter a local beauty contest. Kay wins and is interviewed by reporter Gil McRoberts, who advises her to get married and settle down. Jeffrey is very upset with his wife's and daughter's passion for beauty contests and, when Kay enters the national contest, he informs Marian that she must choose between him and her chase after empty honors for Kay.",1.4,1950-05-04,66.0,[],['Columbia Pictures'],CA,https://media.themoviedb.org/t/p/w220_and_h330_face/2qjE9XC32pTFqeW4gYF2ecB2FBZ.jpg,marian medford woodstock gave up a chance twenty years ago to compete for the miss usa beauty title in order to marry jeffrey woodstock she hopes to realize her past ambitions for fame and fortune through her daughter kay whom she persuades to enter a local beauty contest kay wins and is interviewed by reporter gil mcroberts who advises her to get married and settle down jeffrey is very upset with his wifes and daughters passion for beauty contests and when kay enters the national contest he informs marian that she must choose between him and her chase after empty honors for kay
47,tt0042249,movie,The Big Lift,The Big Lift,1950,120,"Drama,War",Donald W. Keniston,Pas de film,Pas de film,Pas de film,6.4,en,The Berlin Air Lift from the point of view of two NCOs.,3.206,1950-04-26,120.0,"['en', 'de']",['20th Century Fox'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,the berlin air lift from the point of view of two ncos
54,tt0042255,movie,Captain Blackjack,Black Jack,1950,90,"Adventure,Crime",George Mari,tt0032093,tt0026303,Pas de film,5.7,en,"A man who lost everything in the war now smuggles contraband into and out of Spain, but the law's closing in.",1.018,1950-11-20,90.0,['en'],"['Alsa Films', 'Jungla Films']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a man who lost everything in the war now smuggles contraband into and out of spain but the laws closing in
61,tt0042257,movie,Blackmailed,Blackmailed,1951,73,"Crime,Drama,Thriller",Derrick Penley,tt0043154,tt0989125,Pas de film,6.7,en,"A blackmailer is murdered, and those who witnessed the scene agree to keep quiet; the complication is that the scene is also witnessed by a young artist, a victim of blackmail as well. (BFI Website)",1.165,1951-01-30,85.0,['en'],['Harold Huth Productions'],GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a blackmailer is murdered and those who witnessed the scene agree to keep quiet the complication is that the scene is also witnessed by a young artist a victim of blackmail as well bfi website
63,tt0042265,movie,The Blue Lamp,The Blue Lamp,1950,84,"Crime,Drama,Thriller",Peggy Evans,tt0040687,tt0046106,tt0023901,6.8,en,"P.C. George Dixon is a long-serving traditional copper who is due to retire shortly. He takes a new recruit under his aegis and introduces him to the easy-going night beat. Dixon is a classic ordinary hero but also anachronistic, unprepared and unable to answer the violence  of the 1950s.",4.874,1950-01-19,84.0,['en'],"['J. Arthur Rank Organisation', 'Ealing Studios']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,pc george dixon is a longserving traditional copper who is due to retire shortly he takes a new recruit under his aegis and introduces him to the easygoing night beat dixon is a classic ordinary hero but also anachronistic unprepared and unable to answer the violence  of the s
68,tt0042278,movie,The Boy from Indiana,Boy from Indiana,1950,66,"Drama,Romance,Sport",Allen Church,Pas de film,Pas de film,Pas de film,5.3,en,"Happy-go-lucky aspiring sportswriter Lon Decker from Indiana who has aspirations of becoming a sportswriter meets the shrewd and larcenous old man, ""Mac"" Dougal during his wandering. Mac likes to ensure his bets on Quarter-Horse races by doping a horse or two here and there.  When Lon finds out Mac intends to fleece wealthy rancher Zelda Bagley he sets out to stop him.",0.849,1950-03-01,66.0,['en'],['Ventura Pictures Corporation'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,happygolucky aspiring sportswriter lon decker from indiana who has aspirations of becoming a sportswriter meets the shrewd and larcenous old man mac dougal during his wandering mac likes to ensure his bets on quarterhorse races by doping a horse or two here and there  when lon finds out mac intends to fleece wealthy rancher zelda bagley he sets out to stop him
70,tt0042296,movie,Caged,Caged,1950,97,"Crime,Drama,Film-Noir",Eleanor Parker,tt0059742,tt0038000,tt0039969,7.6,en,"A single mistake puts a 19-year old girl behind bars, where she experiences the terrors and torments of women in prison.",6.447,1950-05-19,96.0,['en'],['Warner Bros. Pictures'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a single mistake puts a year old girl behind bars where she experiences the terrors and torments of women in prison
75,tt0042325,movie,Champagne for Caesar,Champagne for Caesar,1950,99,"Comedy,Romance",Art Linkletter,tt0368141,tt0062570,tt0045410,7.3,en,"When jobless genius Beauregard Bottomley interviews with Burnbridge Waters for a position at Waters' soap company, the owner rudely turns Bottomley down. As revenge, Bottomley enters a TV quiz show that Waters' company sponsors, with the goal of winning until he bankrupts the businessman. When Bottomley keeps acing the questions, becoming a media sensation, Waters desperately calls on vixen Flame O'Neal to uncover Bottomley's area of weakness.",1.771,1950-05-11,99.0,['en'],['Cardinal Pictures (II)'],CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,when jobless genius beauregard bottomley interviews with burnbridge waters for a position at waters soap company the owner rudely turns bottomley down as revenge bottomley enters a tv quiz show that waters company sponsors with the goal of winning until he bankrupts the businessman when bottomley keeps acing the questions becoming a media sensation waters desperately calls on vixen flame oneal to uncover bottomleys area of weakness
